"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","coordinateUncertaintyInMeters","continent","stateProvince","georeferencedBy","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","organismQuantity","organismQuantityType","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","preparations","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","georeferencedDate","verbatimEventDate","institutionID","georeferenceProtocol","county","locality","collectionCode","verbatimLocality","gbifID","occurrenceID","catalogNumber","disposition","previousIdentifications","institutionCode","occurrenceRemarks","accessRights","collectionID","verbatimTaxonRank","name","networkKeys","elevation","elevationAccuracy","datasetName","municipality","language","type","ownerInstitutionCode","projectId","georeferenceSources","datasetID","taxonID","vernacularName","eventTime","sex","identifiedBy","samplingProtocol","nomenclaturalCode","verbatimSRS","verbatimCoordinateSystem","verbatimElevation","identificationID","higherGeography","references","otherCatalogNumbers","locationAccordingTo","locationRemarks","identificationRemarks","recordNumber","informationWithheld","footprintWKT","organismID","identificationQualifier","higherClassification","habitat","dateIdentified","georeferenceRemarks","identifiedByIDs.type","identifiedByIDs.value","http...unknown.org.nick","http...unknown.org.captive","vitality","recordedByIDs.type","recordedByIDs.value","lifeStage","infraspecificEpithet","fieldNumber","coordinatePrecision","dynamicProperties","samplingEffort","behavior","individualCount","eventRemarks","eventID","fieldNotes","verbatimIdentification","parentEventID","gadm"
"1930061786","Lampropeltis micropholis Cope, 1860",6.979196,-75.297235,"colmafu,inmafu","550ade26-0e93-4ffe-8467-9942382ba3ed","478a9e81-e716-42dc-a68d-03487953a32e","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-18T01:45:14.968+00:00","2025-01-31T20:42:56.446+00:00",321,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",3036,"SOUTH_AMERICA","Antioquia","Lizeth F. Feliciano A.",1971,7,18,"1971-07-18",199,199,"2016-12-05T00:00:00.000+00:00","2025-01-31T20:42:56.446+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",1,"Individuo",FALSE,"LaSalle:MLS-ofi:2145","none","none","dfa39687-0b04-485e-9d0d-ad342b38fb3b","8545fd17-3ce7-476c-9f7a-0a57c3412c01",FALSE,"Rodrigo Angel","Animal Completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA","Museo de La Salle - Universidad de La Salle","LaSalle:MLS-ofi:2145","2020-04-16","1971-7-18","860.015.542-6","Método radio punto, GEOLocate datos del mapa 2020, CNES/Airbus, Landsat / Copernicus, Maxar Technologies, U.S. Geological Survey","Campamento","Campamento","MLS-ofi","Campamento","1930061786","LaSalle:MLS-ofi:2145","2145","En Colección","Lampropeltis triangulum micropholis","Universidad de La Salle (La Salle)","En Mismo Frasco Con 1060 Y 1061","Solo para Uso no Comercial","https://scientific-collections.gbif.org/collection/8545fd17-3ce7-476c-9f7a-0a57c3412c01","Subespecie","Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930061688","Lampropeltis micropholis Cope, 1860",6.979196,-75.297235,"colmafu,inmafu","550ade26-0e93-4ffe-8467-9942382ba3ed","478a9e81-e716-42dc-a68d-03487953a32e","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-18T01:45:14.968+00:00","2025-01-31T20:42:56.447+00:00",321,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",3036,"SOUTH_AMERICA","Antioquia","Lizeth F. Feliciano A.",1971,7,18,"1971-07-18",199,199,NA,"2025-01-31T20:42:56.447+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",1,"Individuo",FALSE,"LaSalle:MLS-ofi:2148","none","none","dfa39687-0b04-485e-9d0d-ad342b38fb3b","8545fd17-3ce7-476c-9f7a-0a57c3412c01",FALSE,"Rodrigo Angel","Animal Completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA","Museo de La Salle - Universidad de La Salle","LaSalle:MLS-ofi:2148","2020-04-16","1971-7-18","860.015.542-6","Método radio punto, GEOLocate datos del mapa 2020, CNES/Airbus, Landsat / Copernicus, Maxar Technologies, U.S. Geological Survey","Campamento","Campamento","MLS-ofi","Campamento","1930061688","LaSalle:MLS-ofi:2148","2148","En Colección","Lampropeltis triangulum micropholis","Universidad de La Salle (La Salle)",NA,"Solo para Uso no Comercial","https://scientific-collections.gbif.org/collection/8545fd17-3ce7-476c-9f7a-0a57c3412c01","Subespecie","Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4603454306","Lampropeltis micropholis Cope, 1860",-0.25,-79.15,"","7e0b91a0-96d1-48d0-b870-a2bc0f520b5c","f3a1a103-ba87-4b9d-90e4-b12db3a80e1c","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2025-01-21T22:55:15.041+00:00","2025-01-31T22:27:14.183+00:00",2,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Santo Domingo de los Tsáchilas",NA,1971,8,NA,"1971-08",NA,NA,NA,"2025-01-31T22:27:14.183+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,FALSE,"MEPN-H:9678","none","none","bd33fb5b-71da-43c7-9ed0-c95cbc7a5383","bce7ece2-5325-416c-9d6d-f20736160839",FALSE,"César Durán",NA,"WGS84","Squamata","EC","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Historia Natural ""Gustavo Orces V""","MEPN-H:9678",NA,NA,"bd33fb5b-71da-43c7-9ed0-c95cbc7a5383",NA,"Santo Domingo","Finca la Esperanza","MEPN-H",NA,"4603454306","MEPN-H:9678","9678","In collection",NA,"MHNGOV",NA,"CC BY-NC","bce7ece2-5325-416c-9d6d-f20736160839",NA,"Lampropeltis micropholis Cope, 1860","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",500,0,"Reptiles_MEPN-H","Santo Domingo","EN","PhysicalObject","EPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930061950","Lampropeltis micropholis Cope, 1860",4.204748,-74.640746,"colmafu,inmafu","550ade26-0e93-4ffe-8467-9942382ba3ed","478a9e81-e716-42dc-a68d-03487953a32e","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-18T01:45:14.968+00:00","2025-01-31T20:42:56.427+00:00",321,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",3036,"SOUTH_AMERICA","Tolima","Lizeth F. Feliciano A.",1973,6,2,"1973-06-02",153,153,NA,"2025-01-31T20:42:56.427+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",1,"Individuo",FALSE,"LaSalle:MLS-ofi:2224","none","none","dfa39687-0b04-485e-9d0d-ad342b38fb3b","8545fd17-3ce7-476c-9f7a-0a57c3412c01",FALSE,"Hno. Nicéforo María","Animal Completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA","Museo de La Salle - Universidad de La Salle","LaSalle:MLS-ofi:2224","2020-04-21","1973-6-2","860.015.542-6","Método radio punto, GEOLocate datos del mapa 2020, CNES/Airbus, Landsat / Copernicus, Maxar Technologies, U.S. Geological Survey","Melgar","Melgar","MLS-ofi","Melgar","1930061950","LaSalle:MLS-ofi:2224","2224","En Colección","Lampropeltis triangulum micropholis","Universidad de La Salle (La Salle)",NA,"Solo para Uso no Comercial","https://scientific-collections.gbif.org/collection/8545fd17-3ce7-476c-9f7a-0a57c3412c01","Subespecie","Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930061868","Lampropeltis micropholis Cope, 1860",6.317226,-72.559637,"colmafu,inmafu","550ade26-0e93-4ffe-8467-9942382ba3ed","478a9e81-e716-42dc-a68d-03487953a32e","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-18T01:45:14.968+00:00","2025-01-31T20:42:56.524+00:00",321,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",3036,"SOUTH_AMERICA","Boyacá","Lizeth F. Feliciano A.",1974,7,NA,"1974-07",NA,NA,NA,"2025-01-31T20:42:56.524+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",1,"Individuo",FALSE,"LaSalle:MLS-ofi:2267","none","none","dfa39687-0b04-485e-9d0d-ad342b38fb3b","8545fd17-3ce7-476c-9f7a-0a57c3412c01",FALSE,"Hna. Maruja Amaya Roa","Animal Completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA","Museo de La Salle - Universidad de La Salle","LaSalle:MLS-ofi:2267","2020-04-17","1974-7-0","860.015.542-6","Método radio punto, GEOLocate datos del mapa 2020, CNES/Airbus, Landsat / Copernicus, Maxar Technologies, U.S. Geological Survey","La Uvita","Uvita","MLS-ofi","La Uvita","1930061868","LaSalle:MLS-ofi:2267","2267","En Colección","Lampropeltis triangulum micropholis","Universidad de La Salle (La Salle)",NA,"Solo para Uso no Comercial","https://scientific-collections.gbif.org/collection/8545fd17-3ce7-476c-9f7a-0a57c3412c01","Subespecie","Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930062202","Lampropeltis micropholis Cope, 1860",6.266347,-75.519968,"colmafu,inmafu","550ade26-0e93-4ffe-8467-9942382ba3ed","478a9e81-e716-42dc-a68d-03487953a32e","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-18T01:45:14.968+00:00","2025-01-31T20:42:56.617+00:00",321,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",3036,"SOUTH_AMERICA","Antioquia","Lizeth F. Feliciano A.",1976,5,28,"1976-05-28",149,149,NA,"2025-01-31T20:42:56.617+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",1,"Individuo",FALSE,"LaSalle:MLS-ofi:2384","none","none","dfa39687-0b04-485e-9d0d-ad342b38fb3b","8545fd17-3ce7-476c-9f7a-0a57c3412c01",FALSE,"Hno. Marco Antonio Serna","Animal Completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA","Museo de La Salle - Universidad de La Salle","LaSalle:MLS-ofi:2384","2020-04-21","1976-5-28","860.015.542-6","Método radio punto, GEOLocate datos del mapa 2020, CNES/Airbus, Landsat / Copernicus, Maxar Technologies, U.S. Geological Survey","Medellín","Medellín","MLS-ofi","Medellin","1930062202","LaSalle:MLS-ofi:2384","2384","En Colección","Lampropeltis triangulum micropholis","Universidad de La Salle (La Salle)",NA,"Solo para Uso no Comercial","https://scientific-collections.gbif.org/collection/8545fd17-3ce7-476c-9f7a-0a57c3412c01","Subespecie","Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2569354484","Lampropeltis micropholis Cope, 1860",6.316667,-72.816667,"colmafu,inmafu","c816ec3b-ed12-4891-b304-d4e626e43cb3","6c147991-c3bf-453d-a778-3bea9a534804","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-23T12:20:49.710+00:00","2025-02-01T00:57:54.187+00:00",189,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Santander",NA,1982,5,21,"1982-05-21",141,141,NA,"2025-02-01T00:57:54.187+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,FALSE,"UIS:UIS-R:0057","none","none","1cb5f912-a04c-4f8f-b20e-6c740c4340f2","36b211e9-1460-4c31-b67e-0cee4687b843",FALSE,"Gladys Díaz","Animal completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA",NA,"UIS:UIS-R:0057",NA,NA,"890.201.213-4",NA,"Onzaga","Chaguaca","UIS-MHN",NA,"2569354484","UIS:UIS-R:0057","UIS-MHN-R-0057",NA,NA,"Universidad Industrial de Santander (UIS)","Orilla de Camino",NA,"https://scientific-collections.gbif.org/collection/36b211e9-1460-4c31-b67e-0cee4687b843",NA,"Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,"UIS-R-","IGAC152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4912454792","Lampropeltis micropholis Cope, 1860",-0.259,-78.45199,"cdc,conti,rdativ","44276820-553d-49a3-b25a-19dd26a197c8","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2025-01-21T22:53:46.081+00:00","2025-01-31T20:04:19.101+00:00",13,"MATERIAL_SAMPLE","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Pichincha",NA,1987,1,4,"1987-01-04",4,4,NA,"2025-01-31T20:04:19.101+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,FALSE,"QCAZR700","none","none","1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","a61d49fc-4b78-45de-9254-77b06edc685b",FALSE,"JMS|Freddy Bravo|Admin",NA,"WGS84","Squamata","EC","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZR700",NA,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,"Guangopolo","QCAZR","Pichincha, Guangopolo","4912454792","QCAZR700","QCAZR700","En colección",NA,"QCAZ",NA,NA,"a61d49fc-4b78-45de-9254-77b06edc685b",NA,"Lampropeltis micropholis Cope, 1860","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,"Bioweb",NA,"es","PhysicalObject","QCAZ",NA,NA,"doi:10.60545/a733ub","ec.bio.spp.44935","Ecuadorian Milksnakes","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930062238","Lampropeltis micropholis Cope, 1860",5.359201,-74.390467,"colmafu,inmafu","550ade26-0e93-4ffe-8467-9942382ba3ed","478a9e81-e716-42dc-a68d-03487953a32e","68845aab-a453-4816-b36d-a3ec8455deb0","c4f66525-4d36-4c18-82ac-98e088f54db4","CO","EML","2025-01-18T01:45:14.968+00:00","2025-01-31T20:42:56.021+00:00",321,"PRESERVED_SPECIMEN","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",3036,"SOUTH_AMERICA","Cundinamarca","Lizeth F. Feliciano A.",1987,7,20,"1987-07-20",201,201,NA,"2025-01-31T20:42:56.021+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",1,"Individuo",FALSE,"LaSalle:MLS-ofi:2517","none","none","dfa39687-0b04-485e-9d0d-ad342b38fb3b","8545fd17-3ce7-476c-9f7a-0a57c3412c01",FALSE,"Cesar Augusto Medina Caizedo","Animal Completo (ETOH)","WGS84","Squamata","CO","none","none","LATIN_AMERICA","Colombia","LATIN_AMERICA","Museo de La Salle - Universidad de La Salle","LaSalle:MLS-ofi:2517","2020-04-21","1987-7-20","860.015.542-6","Método radio punto, GEOLocate datos del mapa 2020, CNES/Airbus, Landsat / Copernicus, Maxar Technologies, U.S. Geological Survey","La Palma","Vereda El Hato","MLS-ofi","Vereda El Hato","1930062238","LaSalle:MLS-ofi:2517","2517","En Colección","Lampropeltis triangulum micropholis","Universidad de La Salle (La Salle)",NA,"Solo para Uso no Comercial","https://scientific-collections.gbif.org/collection/8545fd17-3ce7-476c-9f7a-0a57c3412c01","Subespecie","Lampropeltis micropholis Cope, 1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4912464763","Lampropeltis micropholis Cope, 1860",0.103843,-78.4362,"cdc,conti","44276820-553d-49a3-b25a-19dd26a197c8","e62f0c10-13a1-4306-bdad-1e0a4c27d0d0","9df8109c-684d-416b-819b-7bc09adc500b","c54097e6-0972-4acb-b849-eaeba29c917d","EC","EML","2025-01-21T22:53:46.081+00:00","2025-01-31T20:04:21.297+00:00",13,"MATERIAL_SAMPLE","PRESENT",5224527,1,44,11592253,6172,9391215,5224527,5224527,"Lampropeltis micropholis Cope, 1860","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis micropholis","Lampropeltis","micropholis","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Pichincha",NA,1988,4,24,"1988-04-24",115,115,NA,"2025-01-31T20:04:21.297+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,FALSE,"QCAZR191","none","none","1f33a2dd-ea62-4da3-b6f3-6fc19d259c99","a61d49fc-4b78-45de-9254-77b06edc685b",FALSE,"George Fletcher|M. S. Bejarano|Admin",NA,"WGS84","Squamata","EC","none","none","LATIN_AMERICA","Ecuador","LATIN_AMERICA","Museo de Zoología QCAZ","QCAZR191",NA,NA,"1f33a2dd-ea62-4da3-b6f3-6fc19d259c99",NA,NA,"Río Guayllabamba, cerca de Perucho","QCAZR",NA,"4912464763","QCAZR191","QCAZR191","En colección",NA,"QCAZ",NA,NA,"a61d49fc-4b78-45de-9254-77b06edc685b",NA,"Lampropeltis micropholis Cope, 1860","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,"Bioweb",NA,"es","PhysicalObject","QCAZ",NA,NA,"doi:10.60545/a733ub","ec.bio.spp.44935","Ecuadorian Milksnakes","00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
