"Tipo de contacto","Fecha hora contacto","Coorde.nadaX","coorden.adaY"
"Observada",2020-02-25,455346.89,3098856.5
"Muda",2020-02-26,455953.62,3098677.97
"Recogida",2020-02-23,454658.21,3097815.95
"Captura",2020-02-26,432872.73,3110867.62
"Captura",2020-02-26,432880.63,3110872.6
"Captura",2020-02-26,432786.42,3111127.4
"Recogida",2020-02-24,433136.15,3110806.84
"Captura",2020-02-26,432978.82,3111151.86
"Captura",2020-02-26,455606.86,3099124.66
"Recogida",2020-02-26,454904.42,3097794.89
"Captura",2020-01-14,432689.07,3111158.63
"Captura",2020-01-14,432826.5,3110732.31
"Captura",2020-01-15,456138.05,3098911.26
"Captura",2020-01-22,454318.42,3097866.48
"Recogida",2020-01-30,434460.44,3111374.97
"Captura",2020-02-03,432833.52,3110850.76
"Captura",2020-02-03,432829.07,3110905.08
"Recogida",2020-02-01,456885.67,3096553.01
"Captura",2020-02-04,454841.41,3099067.49
"Captura",2020-02-05,454792.33,3098272.53
"Captura",2019-10-03,453716,3097693
"Captura",2019-10-03,453947,3098413
"Captura",2019-10-04,439095,3073515
"Captura",2019-10-04,457237,3107733
"Captura",2019-10-05,456115,3098614
"Captura",2019-10-09,457882,3108256
"Captura",2019-10-09,455349,3098267
"Captura",2019-10-10,455751,3098430
"Captura",2019-10-10,450744,3096292
"Captura",2019-10-22,455392,3098261
"Captura",2019-10-24,432458,3110962
"Captura",2019-10-28,456149,3098904
"Captura",2019-10-29,454051,3096764
"Captura",2019-11-05,454968,3097794
"Captura",2019-11-05,455004,3098719
"Captura",2019-11-06,454266,3099249
"Captura",2019-11-07,457360,3107910
"Captura",2019-11-11,455535,3097878
"Captura",2019-11-12,458206,3101440
"Captura",2019-11-19,432689,3111158
"Captura",2019-12-03,432780,3111172
"Captura",2019-12-03,432153,3111711
"Captura",2019-12-04,458283,3108349
"Captura",2019-12-05,455717,3097793
"Captura",2019-12-11,455594,3098423
"Captura",2019-12-13,455314,3098201
"Captura",2019-12-18,454986,3098738
"Captura",2019-12-19,454564,3097856
"Captura",2019-12-26,455356,3098260
"Captura",2019-12-26,455300,3098248
"Captura",2019-12-27,432780,3111172
"Recogida",2019-09-30,455480,3098206
"Recogida",2019-10-04,453176,3100379
"Recogida",2019-10-06,454878,3099232
"Recogida",2019-10-07,457885,3105432
"Recogida",2019-10-07,458305,3097969
"Recogida",2019-10-07,458040,3100493
"Recogida",2019-10-09,438980,3073155
"Recogida",2019-10-10,434551,3112406
"Recogida",2019-10-10,453075,3096749
"Recogida",2019-10-11,453670,3098627
"Recogida",2019-10-14,458207,3101571
"Recogida",2019-10-13,458195,3101466
"Recogida",2019-10-14,433164,3110783
"Recogida",2019-10-17,455691,3097003
